Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),male_ID,female_ID,male_age,female_age,Termination_Reason
24,1,0,44.4151,0,0,686,676,26.8914,55.0478,SELF_DIED
108,1,0,213.196,0,0,3585,3408,55.0195,41.6094,SELF_DIED
408,1,0,235.062,0,1,8128,8750,38.1765,55.053,SELF_DIED
4,1,0,18.1454,30.4167,0,47,58,24.6966,41.3016,BROKEUP
11,1,0,3.58001,30.4167,0,217,357,40.3322,50.3003,BROKEUP
30,1,0,6.26865,30.4167,0,898,817,42.7332,29.2721,BROKEUP
31,1,0,16.4298,30.4167,0,915,926,21.083,29.1134,BROKEUP
43,1,0,0.325034,30.4167,0,1289,1440,26.1512,39.922,BROKEUP
50,1,0,2.69707,30.4167,0,1561,1680,47.5452,23.6572,BROKEUP
56,1,0,22.1681,30.4167,0,1751,1993,29.6633,28.7145,BROKEUP
57,1,0,11.4681,30.4167,0,1761,2000,24.3639,32.461,BROKEUP
63,1,0,0.845826,30.4167,0,1966,2098,34.5858,48.0183,BROKEUP
112,1,0,19.3533,30.4167,0,3668,3638,25.0956,36.0315,BROKEUP
116,1,0,11.8216,30.4167,0,3768,3776,43.3,50.2865,BROKEUP
126,1,0,23.9618,30.4167,0,4010,4189,20.0383,53.4842,BROKEUP
150,1,0,10.5751,30.4167,0,4643,4938,33.3308,25.7707,BROKEUP
155,1,0,18.924,30.4167,0,4771,4984,25.6091,30.6859,BROKEUP
203,1,0,25.1726,30.4167,0,6501,7298,47.4343,33.8424,BROKEUP
253,1,0,19.1516,30.4167,0,8048,9181,37.4574,52.2882,BROKEUP
256,1,0,18.1256,30.4167,0,8119,9410,46.7448,51.1714,BROKEUP
274,1,0,27.4535,30.4167,0,8717,9719,31.9184,34.126,BROKEUP
340,1,0,29.6223,30.4167,1,3729,4749,45.6375,33.8973,BROKEUP
83,1,0,883.289,30.4167,0,2699,2807,33.0198,55.0502,SELF_DIED
146,1,0,325.781,30.4167,0,4493,4836,55.0032,18.6286,SELF_DIED
204,1,0,224.873,30.4167,0,6512,7329,55.002,17.1148,SELF_DIED
389,1,0,457.145,30.4167,1,7336,7014,55.0673,15.4056,SELF_DIED
3,1,0,33.7661,60.8333,0,43,33,19.4441,25.686,BROKEUP
14,1,0,32.8837,60.8333,0,364,391,25.714,37.4845,BROKEUP
42,1,0,41.1705,60.8333,0,1195,1278,51.3045,19.279,BROKEUP
49,1,0,33.7711,60.8333,0,1470,1668,43.3441,39.1867,BROKEUP
55,1,0,51.5279,60.8333,0,1714,1981,23.5236,47.8383,BROKEUP
104,1,0,59.228,60.8333,0,3482,3280,45.4814,25.0526,BROKEUP
109,1,0,52.6347,60.8333,0,3601,3513,21.634,21.9404,BROKEUP
145,1,0,54.8807,60.8333,0,4483,4761,50.0033,17.2001,BROKEUP
149,1,0,32.7562,60.8333,0,4632,4910,34.3182,39.156,BROKEUP
160,1,0,52.6183,60.8333,0,4932,5193,41.6175,27.3114,BROKEUP
167,1,0,46.2731,60.8333,0,5256,5422,40.7159,37.154,BROKEUP
177,1,0,45.5759,60.8333,0,5660,5814,40.0788,45.1128,BROKEUP
179,1,0,58.6229,60.8333,0,5749,5888,35.0687,16.6964,BROKEUP
183,1,0,53.3897,60.8333,0,5892,6088,53.6228,20.3809,BROKEUP
206,1,0,34.985,60.8333,0,6581,7460,30.4138,20.9648,BROKEUP
220,1,0,40.4417,60.8333,0,7167,7902,47.6416,32.2467,BROKEUP
222,1,0,34.7607,60.8333,0,7212,7958,39.7383,22.5883,BROKEUP
225,1,0,53.3475,60.8333,0,7242,8021,48.5237,46.4449,BROKEUP
226,1,0,59.2991,60.8333,0,7256,8230,53.9995,50.7725,BROKEUP
247,1,0,47.6864,60.8333,0,7813,9094,37.514,22.3477,BROKEUP
251,1,0,39.7612,60.8333,0,8026,9152,18.2894,46.5893,BROKEUP
268,1,0,37.1945,60.8333,0,8535,9585,21.5847,35.7353,BROKEUP
