Parameter,Type,Min,Max,Default,Description,Example
Base_Air_Temperature,float,-55,45,22,"The air temperature, in degrees Celsius, where **Climate_Model** is set to CLIMATE_CONSTANT.",[link](../json/config-env-generic_Base_Air_Temperature.json)
Base_Land_Temperature,float,-55,60,26,"The land temperature, in degrees Celsius, where **Climate_Model** is set to CLIMATE_CONSTANT.",[link](../json/config-env-generic_Base_Land_Temperature.json)
Base_Rainfall,float,0,150,10,The value of rainfall per day in millimeters when **Climate_Model** is set to CLIMATE_CONSTANT.,[link](../json/config-env-generic_Base_Rainfall.json)
Base_Relative_Humidity,float,0,1,0.75,The value of humidity where **Climate_Model** is set to CLIMATE_CONSTANT.,[link](../json/config-env-generic_Base_Relative_Humidity.json)
Default_Geography_Initial_Node_Population,integer,0,1000000,1000,"When using the built-in demographics for default geography, the initial number of individuals in each node. Note that the built-in demographics feature does not represent a real geographical location and is mostly used for testing. **Enable_Demographics_Builtin** must be set to true (1).",[link](../json/config-env-generic_Default_Geography_Initial_Node_Population.json)
Default_Geography_Torus_Size,integer,3,100,10,"When using the built-in demographics for default geography, the square root of the number of nodes in the simulation. The simulation uses an N x N square grid of nodes with N specified by this parameter. If migration is enabled, the N x N nodes are assumed to be a torus and individuals can migrate from any node to all four adjacent nodes. 
To enable migration, set **Migration_Model** to FIXED_RATE_MIGRATION. Built-in migration is a form of ""local"" migration where individuals only migrate to the adjacent nodes. You can use the **x_Local_Migration** parameter to control the rate of migration. The other migration parameters are ignored. Note that the built-in demographics feature does not represent a real geographical location and is mostly used for testing. 
**Enable_Demographics_Builtin** must be set to true (1).",[link](../json/config-env-generic_Default_Geography_Torus_Size.json)
Node_Grid_Size,float,0.00416,90,0.004167,The spatial resolution indicating the node grid size for a simulation in degrees.,[link](../json/config-env-generic_Node_Grid_Size.json)
