Parameter,Example,Description,Type,Min,Max,Default
Incubation_Period_Constant,[link](../json/config-incubation-generic_Incubation_Period_Constant.json),"The incubation period, in days, to use for all individuals when **Incubation_Period_Distribution** is set to CONSTANT_DISTRIBUTION.",float,0,3.40282E+38,-1
Incubation_Period_Distribution,[link](../json/config-incubation-generic_Incubation_Period_Distribution.json),"The distribution type to use for assigning the incubation period to each individual in the population. Each individual's value is a random draw from the distribution.<br>Possible values are:<br>NOT_INITIALIZED<br>    No distribution set. <br>CONSTANT_DISTRIBUTION<br>    Use the same value for each individual. Set **Incubation_Period_Constant**.<br>UNIFORM_DISTRIBUTION<br>    Use a `uniform`_ distribution with a given minimum and maximum. Set **Incubation_Period_Max** and **Incubation_Period_Min**.<br>GAUSSIAN_DISTRIBUTION<br>    The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Incubation_Period_Gaussian_Mean** and **Incubation_Period_Gaussian_Std_Dev**.<br>EXPONENTIAL_DISTRIBUTION<br>    The distribution is `exponential`_ with a given mean. Set **Incubation_Period_Exponential**.<br>WEIBULL_DISTRIBUTION<br>    Use a `Weibull`_ distribution with a given shape and scale. Set **Incubation_Period_Kappa** and **Incubation_Period_Lambda**.<br>LOG_NORMAL_DISTRIBUTION<br>    Use a `log-normal`_ distribution with a given mean and standard deviation of the natural log. Set **Incubation_Period_Log_Normal_Mu** and **Incubation_Period_Log_Normal_Sigma**.<br>POISSON_DISTRIBUTION<br>    Use a `Poisson`_ distribution with a given mean. Set **Incubation_Period_Poisson_Mean**. <br>DUAL_CONSTANT_DISTRIBUTION<br>    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Incubation_Period_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br>DUAL_EXPONENTIAL_DISTRIBUTION<br>    Use two `exponential`_ distributions with given means. Set **Incubation_Period_Mean_1**, **Incubation_Period_Mean_2**, and **Incubation_Period_Proportion_1**. This distribution does not use the parameters set for DUAL_EXPONENTIAL_DISTRIBUTION.<br>.. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution<br>.. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution<br>.. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution<br>.. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution<br>.. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)<br>.. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution",enum,NA,NA,NOT_INITIALIZED
Incubation_Period_Exponential,[link](../json/config-incubation-generic_Incubation_Period_Exponential.json),"The mean incubation period, in days, when **Incubation_Period_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",float,0,3.40282E+38,-1
Incubation_Period_Gaussian_Mean,[link](../json/config-incubation-generic_Incubation_Period_Gaussian_Mean.json),"The mean of the incubation period, in days, when **Incubation_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",float,0,3.40282E+38,-1
Incubation_Period_Gaussian_Std_Dev,[link](../json/config-incubation-generic_Incubation_Period_Gaussian_Std_Dev.json),"The standard deviation of the incubation period, in days, when **Incubation_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Incubation_Period_Kappa,[link](../json/config-incubation-generic_Incubation_Period_Kappa.json),"The shape value for the incubation period, in days, when **Incubation_Period_Distribution** is set to WEIBULL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Incubation_Period_Lambda,[link](../json/config-incubation-generic_Incubation_Period_Lambda.json),"The scale value for the incubation period, in days, when **Incubation_Period_Distribution** is set to WEIBULL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Incubation_Period_Log_Normal_Mu,[link](../json/config-incubation-generic_Incubation_Period_Log_Normal_Mu.json),"The mean of the natural log of the incubation period, in days, when **Incubation_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",float,-3.40282e+38,1.70141e+38,3.40282e+38
Incubation_Period_Log_Normal_Sigma,[link](../json/config-incubation-generic_Incubation_Period_Log_Normal_Sigma.json),"The standard deviation of the natural log of the incubation period, in days, when **Incubation_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,1
Incubation_Period_Max,[link](../json/config-incubation-generic_Incubation_Period_Max.json),"The maximum incubation period, in days, when **Incubation_Period_Distribution** is set to UNIFORM_DISTRIBUTION.",float,0,3.40282E+38,-1
Incubation_Period_Mean_1,[link](../json/config-incubation-generic_Incubation_Period_Mean_1.json),"The mean of the first exponential distribution, in days, when **Incubation_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Incubation_Period_Mean_2,[link](../json/config-incubation-generic_Incubation_Period_Mean_2.json),"The mean of the second exponential distribution, in days, when **Incubation_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Incubation_Period_Min,[link](../json/config-incubation-generic_Incubation_Period_Min.json),"The minimum incubation period, in days, when **Incubation_Period_Distribution** is set to UNIFORM_DISTRIBUTION.",float,0,3.40282E+38,-1
Incubation_Period_Peak_2_Value,[link](../json/config-incubation-generic_Incubation_Period_Peak_2_Value.json),"The incubation period value, in days, to assign to the remaining individuals when **Incubation_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.",float,0,3.40282E+38,-1
Incubation_Period_Poisson_Mean,[link](../json/config-incubation-generic_Incubation_Period_Poisson_Mean.json),"The mean of the incubation period, in days, when **Incubation_Period_Distribution** is set to POISSON_DISTRIBUTION.",float,0,3.40282E+38,-1
Incubation_Period_Proportion_0,[link](../json/config-incubation-generic_Incubation_Period_Proportion_0.json),The proportion of individuals to assign a value of zero days incubation when **Incubation_Period_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.,float,0,1,-1
Incubation_Period_Proportion_1,[link](../json/config-incubation-generic_Incubation_Period_Proportion_1.json),The proportion of individuals in the first exponential distribution when **Incubation_Period_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.,float,0,1,-1
Symptomatic_Infectious_Offset,[link](../json/config-incubation-generic_Symptomatic_Infectious_Offset.json),"Amount of time, in days, after the infectious period starts that symptoms appear. Negative values imply an individual is symptomatic before infectious. If this offset is greater than the infectious duration, the infection will not be symptomatic. For example, if **Incubation_Period_Constant** is set to 10 and **Symptomatic_Infectious_Offset** is set to 4, then an infected person would become symptomatic 14 days after transmission.",float,-3.40282e+38,3.40282e+38,3.40282e+38
