Parameter,Example,Description,Type,Min,Max,Default
Actual_IndividualIntervention_Configs,[link](../json/campaign-delayedintervention_Actual_IndividualIntervention_Configs.json),"An array of nested interventions to be distributed at the end of a delay period, to covered fraction of the population.",array of JSON objects,NA,NA,NA
Coverage,[link](../json/campaign-delayedintervention_Coverage.json),The proportion of individuals who receive the **DelayedIntervention** that actually receive the configured interventions.,float,0,1,1
Delay_Period_Constant,[link](../json/campaign-delayedintervention_Delay_Period_Constant.json),"The delay period, in days, to use for all interventions when **Delay_Period_Distribution** is set to CONSTANT_DISTRIBUTION.",float,0,3.40282E+38,-1
Delay_Period_Distribution,[link](../json/campaign-delayedintervention_Delay_Period_Distribution.json),"The distribution type to use for assigning the delay period for distributing interventions. Each assigned value is a random draw from the distribution.<br>Possible values are:<br>NOT_INITIALIZED<br>    No distribution set. <br>CONSTANT_DISTRIBUTION<br>    Use the same value for each individual. Set **Delay_Period_Constant**.<br>UNIFORM_DISTRIBUTION<br>    Use a `uniform`_ distribution with a given minimum and maximum. Set **Delay_Period_Max** and **Delay_Period_Min**.<br>GAUSSIAN_DISTRIBUTION<br>    The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Delay_Period_Gaussian_Mean** and **Delay_Period_Gaussian_Std_Dev**.<br>EXPONENTIAL_DISTRIBUTION<br>    The distribution is `exponential`_ with a given mean. Set **Delay_Period_Exponential**.<br>WEIBULL_DISTRIBUTION<br>    Use a `Weibull`_ distribution with a given shape and scale. Set **Delay_Period_Kappa** and **Delay_Period_Lambda**.<br>LOG_NORMAL_DISTRIBUTION<br>    Use a `log-normal`_ distribution with a given mean and standard deviation of the natural log. Set **Delay_Period_Log_Normal_Mu** and **Delay_Period_Log_Normal_Sigma**.<br>POISSON_DISTRIBUTION<br>    Use a `Poisson`_ distribution with a given mean. Set **Delay_Period_Poisson_Mean**. <br>DUAL_CONSTANT_DISTRIBUTION<br>    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Delay_Period_Proportion_0** and **Peak_2_Value**.<br>DUAL_EXPONENTIAL_DISTRIBUTION<br>    Use two `exponential`_ distributions with given means. Set **Delay_Period_Mean_1**, **Delay_Period_Mean_2**, and **Delay_Period_Proportion_1**. <br>.. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution<br>.. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution<br>.. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution<br>.. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution<br>.. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)<br>.. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution",enum,NA,NA,NOT_INITIALIZED
Delay_Period_Exponential,[link](../json/campaign-delayedintervention_Delay_Period_Exponential.json),"The mean of the delay period, in days, when **Delay_Period_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",float,0,3.40282E+38,-1
Delay_Period_Gaussian_Mean,[link](../json/campaign-delayedintervention_Delay_Period_Gaussian_Mean.json),"The mean of the delay period, in days, when **Delay_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",float,0,3.40282E+38,-1
Delay_Period_Gaussian_Std_Dev,[link](../json/campaign-delayedintervention_Delay_Period_Gaussian_Std_Dev.json),"The standard deviation of the delay period, in days, when **Delay_Period_Distribution** is set to GAUSSIAN_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Delay_Period_Kappa,[link](../json/campaign-delayedintervention_Delay_Period_Kappa.json),"The shape value for the delay period, in days, when **Delay_Period_Distribution** is set to WEIBULL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Delay_Period_Lambda,[link](../json/campaign-delayedintervention_Delay_Period_Lambda.json),"The scale value for the delay period, in days, when **Delay_Period_Distribution** is set to WEIBULL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Delay_Period_Log_Normal_Mu,[link](../json/campaign-delayedintervention_Delay_Period_Log_Normal_Mu.json),"The mean of the natural log of the delay period, in days, when **Delay_Period_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",float,-3.40282e+38,1.70141e+38,3.40282e+38
