Parameter,Example,Description,Type,Min,Max,Default
Expected_Discard_Time,[link](../json/campaign-waningeffectrandombox_Expected_Discard_Time.json),"The mean time, in days, of an exponential distribution of the duration of the effect of an intervention (such as a vaccine or bed net). Specify how this effect decays over time using one of the [Waning effect classes](../md_parameter/parameter-campaign-waningeffects.md).",float,0,100000,100
Initial_Effect,[link](../json/campaign-waningeffectrandombox_Initial_Effect.json),"Strength of the effect, which remains constant until the duration is complete when using with the **WaningEffectRandomBox** class.",float,0,1,1
