Parameter,Example,Description,Type,Min,Max,Default
Box_Duration,[link](../json/campaign-waningeffectboxexponential_Box_Duration.json),The box duration of the effect in days.,float,0,100000,100
Decay_Time_Constant,[link](../json/campaign-waningeffectboxexponential_Decay_Time_Constant.json),"The exponential decay length, in days, where the current effect is equal to **Initial_Effect** - dt/**Decay_Time_Constant** (dt equal to delta time).",float,0,100000,100
Initial_Effect,[link](../json/campaign-waningeffectboxexponential_Initial_Effect.json),"The initial efficacy, held for a duration as specified with the **Box_Duration** parameter and then decaying at an exponential length (in days), where the current effect is equal to **Initial_Effect** - dt/**Decay_Time_Constant** (dt equal to delta time).",float,0,1,1
