Parameter,Example,Description,Type,Min,Max,Default
Duration_At_Node_Proportion_0,[link](../json/campaign-migratefamily_Duration_At_Node_Proportion_0.json),The proportion of families to assign a value of zero days at node when **Duration_At_Node_Distribution** is set to DUAL_CONSTANT_DISTRIBUTION.,float,0,1,-1
Duration_At_Node_Proportion_1,[link](../json/campaign-migratefamily_Duration_At_Node_Proportion_1.json),The proportion of families in the first exponential distribution  when **Duration_At_Node_Distribution** is set to DUAL_EXPONENTIAL_DISTRIBUTION.,float,0,1,-1
Duration_Before_Leaving_Constant,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Constant.json),"The duration before leaving to use for every family, in days, when **Duration_Before_Leaving_Distribution** is set to CONSTANT_DISTRIBUTION.",float,0,3.40282E+38,-1
Duration_Before_Leaving_Distribution,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Distribution.json),"The distribution type to use for assigning the duration of time an individual or family waits before migrating to the destination node after intervention-based migration. Each assigned value is a random draw from the distribution.<br>Possible values are:<br>NOT_INITIALIZED<br>    No distribution set. <br>CONSTANT_DISTRIBUTION<br>    Use the same value for each individual. Set **Duration_Before_Leaving_Constant**.<br>UNIFORM_DISTRIBUTION<br>    Use a `uniform`_ distribution with a given minimum and maximum. Set **Duration_Before_Leaving_Max** and **Duration_Before_Leaving_Min**.<br>GAUSSIAN_DISTRIBUTION<br>    The distribution is `Gaussian`_ (or normal). Values are resampled to ensure >= 0. Set **Duration_Before_Leaving_Gaussian_Mean** and **Duration_Before_Leaving_Gaussian_Std_Dev**.<br>EXPONENTIAL_DISTRIBUTION<br>    The distribution is `exponential`_ with a given mean. Set **Duration_Before_Leaving_Exponential**.<br>WEIBULL_DISTRIBUTION<br>    Use a `Weibull`_ distribution with a given shape and scale. Set **Duration_Before_Leaving_Kappa** and **Duration_Before_Leaving_Lambda**.<br>LOG_NORMAL_DISTRIBUTION<br>    Use a `log-normal`_ distribution with a given mean and standard deviation of the natural log. Set **Duration_Before_Leaving_Log_Normal_Mu** and **Duration_Before_Leaving_Log_Normal_Sigma**.<br>POISSON_DISTRIBUTION<br>    Use a `Poisson`_ distribution with a given mean. Set **Duration_Before_Leaving_Poisson_Mean**. <br>DUAL_CONSTANT_DISTRIBUTION<br>    Use a distribution where some individuals are set to a value of zero and the rest to a given value. Set **Duration_Before_Leaving_Proportion_0** and **Peak_2_Value**. This distribution does not use the parameters set for CONSTANT_DISTRIBUTION.<br>DUAL_EXPONENTIAL_DISTRIBUTION<br>    Use two `exponential`_ distributions with given means. Set **Duration_Before_Leaving_Mean_1**, **Duration_Before_Leaving_Mean_2**, and **Duration_Before_Leaving_Proportion_1**. This distribution does not use the parameters set for EXPONENTIAL_DISTRIBUTION.<br>.. _Gaussian: https://en.wikipedia.org/wiki/Normal_distribution<br>.. _exponential: https://en.wikipedia.org/wiki/Exponential_distribution<br>.. _Weibull: https://en.wikipedia.org/wiki/Weibull_distribution<br>.. _log-normal: https://en.wikipedia.org/wiki/Log-normal_distribution<br>.. _uniform: https://en.wikipedia.org/wiki/Uniform_distribution_(continuous)<br>.. _Poisson: https://en.wikipedia.org/wiki/Poisson_distribution",enum,NA,NA,NOT_INITIALIZED
Duration_Before_Leaving_Exponential,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Exponential.json),"The mean of the duration before leaving node, in days, when **Duration_Before_Leaving_Distribution** is set to EXPONENTIAL_DISTRIBUTION.",float,0,3.40282E+38,-1
Duration_Before_Leaving_Gaussian_Mean,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Gaussian_Mean.json),"The mean of the duration before leaving the node, in days, when **Duration_Before_Leaving_Distribution** is set to GAUSSIAN_DISTRIBUTION.",float,0,3.40282E+38,-1
Duration_Before_Leaving_Gaussian_Std_Dev,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Gaussian_Std_Dev.json),"The standard deviation of the duration before leaving the node, in days, when **Duration_Before_Leaving_Distribution** is set to GAUSSIAN_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,1
Duration_Before_Leaving_Kappa,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Kappa.json),"The shape value for the duration before leaving the node, in days, when **Duration_Before_Leaving_Distribution** is set to WEIBULL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Duration_Before_Leaving_Lambda,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Lambda.json),"The scale value for the duration before leaving the node, in days, when **Duration_Before_Leaving_Distribution** is set to WEIBULL_DISTRIBUTION.",float,1.17549E-38,3.40282E+38,-1
Duration_Before_Leaving_Log_Normal_Mu,[link](../json/campaign-migratefamily_Duration_Before_Leaving_Log_Normal_Mu.json),"The mean of the natural log of the duration before leaving the node, in days, when **Duration_Before_Leaving_Distribution** is set to LOG_NORMAL_DISTRIBUTION.",float,-3.40282e+38,1.70141e+38,3.40282E+38
