Parameter,Example,Description,Type,Min,Max,Default
Clade,[link](../json/campaign-outbreak_Clade.json),"The clade ID (**Clade**) of the outbreak infection. Together with the genome ID (**Genome**) they are a unitary object representing a strain of infection, which allows for differentiation among infections. Values for **Clade** may range from 0 to **Number_of_Clades**-1 (set in the configuration file).",integer,0,9,0
Genome,[link](../json/campaign-outbreak_Genome.json),The genome ID (**Genome**) of the outbreak infection. Together with the clade ID (**Clade**) they represent an infection as a unitary object. Values for **Genome** may range from -1 to 2\ ^Log2_Number_of_Genomes_per_Clade-1^,integer,0,16777215,0
Import_Age,[link](../json/campaign-outbreak_Import_Age.json),The age (in days) of infected import cases.,float,0,43800,365
Incubation_Period_Override,[link](../json/campaign-outbreak_Incubation_Period_Override.json),"The incubation period, in days, that infected individuals will go through before becoming infectious. This value overrides the incubation period set in the configuration file. Set to -1 to honor the configuration parameter settings.",integer,-1,2147480000,-1
Number_Cases_Per_Node,[link](../json/campaign-outbreak_Number_Cases_Per_Node.json),The number of new cases of **Outbreak** to import (per node). <br>.. note::<br>    This will increase the population and there is no control over demographics of these individuals.,integer,0,2147480000,1
