Parameter,Type,Min,Max,Default,Description,Example
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",[link](../json/campaign-broadcasteventtoothernodes_Disqualifying_Properties.json)
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",[link](../json/campaign-broadcasteventtoothernodes_Dont_Allow_Duplicates.json)
Event_Trigger,enum,NA,NA,"""""",The name of the event to broadcast to selected nodes. See [Event list](../md_parameter/parameter-campaign-event-list.md) for possible values.,[link](../json/campaign-broadcasteventtoothernodes_Event_Trigger.json)
Include_My_Node,boolean,0,1,0,Set to true (1) to broadcast the event to the current node.,[link](../json/campaign-broadcasteventtoothernodes_Include_My_Node.json)
Intervention_Name,string,NA,NA,BroadcastEventToOtherNodes,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,[link](../json/campaign-broadcasteventtoothernodes_Intervention_Name.json)
Max_Distance_To_Other_Nodes_Km,float,0,3.40282e+38,3.40282e+38,"The maximum distance, in kilometers, to the destination node for the node to be selected. The location values used are those entered in the demographics file. Used only if **Node_Selection_Type** is either DISTANCE_ONLY or DISTANCE_AND_MIGRATION.",[link](../json/campaign-broadcasteventtoothernodes_Max_Distance_To_Other_Nodes_Km.json)
New_Property_Value,string,NA,NA,NA,"An optional **IndividualProperty** key:value pair that will be assigned when the intervention is distributed. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one. ",[link](../json/campaign-broadcasteventtoothernodes_New_Property_Value.json)
Node_Selection_Type,enum,NA,NA,DISTANCE_ONLY,"The method by which to select nodes to receive the event. Possible values are:
DISTANCE_ONLY
    Nodes located within the distance specified by **Max_Distance_To_Other_Nodes_Km** are selected. 
MIGRATION_NODES_ONLY
    Nodes that are local or regional are selected. 
DISTANCE_AND_MIGRATION
    Nodes are selected using DISTANCE_ONLY and MIGRATION_NODES_ONLY criteria.",[link](../json/campaign-broadcasteventtoothernodes_Node_Selection_Type.json)
