Parameter,Example,Description,Type,Min,Max,Default
Broadcast_Event,[link](../json/campaign-broadcastevent_Broadcast_Event.json),The name of the event that will trigger the intervention. See [Event list](../md_parameter/parameter-campaign-event-list.md) for possible values.,string,NA,NA,""""""
Disqualifying_Properties,[link](../json/campaign-broadcastevent_Disqualifying_Properties.json),"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See  parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",array of strings,NA,NA,[]
Dont_Allow_Duplicates,[link](../json/campaign-broadcastevent_Dont_Allow_Duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",boolean,0,1,0
Intervention_Name,[link](../json/campaign-broadcastevent_Intervention_Name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,string,NA,NA,BroadcastEvent
New_Property_Value,[link](../json/campaign-broadcastevent_New_Property_Value.json),"An optional **IndividualProperty** key:value pair that will be assigned when the intervention is distributed. See  parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.",string,NA,NA,NA
