Parameter,Example,Description,Type,Min,Max,Default
Daily_Probability,[link](../json/campaign-propertyvaluechanger_Daily_Probability.json),The daily probability that an individual will move to the **Target_Property_Value**.,float,0,1,1
Disqualifying_Properties,[link](../json/campaign-propertyvaluechanger_Disqualifying_Properties.json),"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to nodes with these values). See  parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",array of strings,NA,NA,[]
Dont_Allow_Duplicates,[link](../json/campaign-propertyvaluechanger_Dont_Allow_Duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",boolean,0,1,0
Intervention_Name,[link](../json/campaign-propertyvaluechanger_Intervention_Name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,string,NA,NA,NA
Maximum_Duration,[link](../json/campaign-propertyvaluechanger_Maximum_Duration.json),The maximum amount of time individuals have to move to a new group. This timing works in conjunction with **Daily_Probability**.,float,-1,3.40E+38,3.40E+38
New_Property_Value,[link](../json/campaign-propertyvaluechanger_New_Property_Value.json),"An optional **IndividualProperty** key:value pair that will be assigned when the intervention is distributed. See  parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.",string,NA,NA,NA
Revert,[link](../json/campaign-propertyvaluechanger_Revert.json),The number of days before an individual moves back to their original group.,float,0,10000,0
Target_Property_Key,[link](../json/campaign-propertyvaluechanger_Target_Property_Key.json),The name of the individual property type whose value will be updated by the intervention.,string,NA,NA,NA
Target_Property_Value,[link](../json/campaign-propertyvaluechanger_Target_Property_Value.json),The user-defined value of the individual property that will be assigned to the individual.,string,NA,NA,NA
