Parameter,Example,Description,Type,Min,Max,Default
Author,[link](../json/demo-metadata-generic_Author.json),"The person who created the demographics file. Files generated by COMPS will include this value, but it is not used by EMOD simulations.",string,NA,NA,NA
DateCreated,[link](../json/demo-metadata-generic_DateCreated.json),"The date the demographics file was created. Files generated by COMPS will include this value, but it is not used by EMOD simulations.",string,NA,NA,NA
IdReference,[link](../json/demo-metadata-generic_IdReference.json),"The identifier for a simulation; all input files (except configuration and campaign files) used in a simulation must have the same **IdReference** value. The value must be greater than 0. If the input files are generated using COMPS, this indicates the method used for generating the **NodeID**, the identifier used for each node in the simulation.",string,NA,NA,NA
Metadata,[link](../json/demo-metadata-generic_Metadata.json),The structure that contains the metadata for the demographics file.,JSON object,NA,NA,NA
NodeCount,[link](../json/demo-metadata-generic_NodeCount.json),The number of nodes to expect in the input files. This parameter is required.,integer,1,Depends on available memory,NA
Resolution,[link](../json/demo-metadata-generic_Resolution.json),"The spatial resolution of the demographics file. Files generated by COMPS will include this value, but it is not used by EMOD simulations.",integer,NA,NA,NA
Tool,[link](../json/demo-metadata-generic_Tool.json),"The software tool used to create the demographics file. Files generated by COMPS will include this value, but it is not used by EMOD simulations.",string,NA,NA,NA
