Parameter,Example,Description,Type,Min,Max,Default
Actual_IndividualIntervention_Configs,[link](../json/campaign-ivcalendar_Actual_IndividualIntervention_Configs.json),An array of interventions that will be distributed as specified in the calendar. This parameter selects a class for the intervention and configures the parameters specific for that intervention class.,array of JSON objects,NA,NA,NA
Age,[link](../json/campaign-ivcalendar_Age.json),"An array of ages (in days). In **IVCalendar**, there is a list of actual interventions where the distribution is dependent on whether the individual's age matches the next date in the calendar.",float,0,45625,NA
Calendar,[link](../json/campaign-ivcalendar_Calendar.json),"An array of ages, days and the probabilities of receiving the list of interventions at each age.<br>Calendar has two parameters: **Probability** and **Age**.",array of JSON objects,NA,NA,NA
Disqualifying_Properties,[link](../json/campaign-ivcalendar_Disqualifying_Properties.json),"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See  parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.",array of strings,NA,NA,[]
Dont_Allow_Duplicates,[link](../json/campaign-ivcalendar_Dont_Allow_Duplicates.json),"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.",boolean,0,1,0
Dropout,[link](../json/campaign-ivcalendar_Dropout.json),"If set to true (1), when an intervention distribution is missed, all subsequent interventions are also missed. If set to false (0), all calendar dates/doses are applied independently of each other.",boolean,0,1,0
Intervention_Name,[link](../json/campaign-ivcalendar_Intervention_Name.json),The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.,string,NA,NA,NA
New_Property_Value,[link](../json/campaign-ivcalendar_New_Property_Value.json),"An optional **IndividualProperty** key:value pair that will be assigned when the intervention is distributed. See  parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.",string,NA,NA,NA
Probability,[link](../json/campaign-ivcalendar_Probability.json),The probability of an individual receiving the list of actual interventions at the corresponding age.,float,0,1,NA
