Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),male_ID,female_ID,male_age,female_age,Termination_Reason
1139,1,60.8333,408.51,60.8333,1,8986,1836,55.0812,32.5271,SELF_DIED
9,1,0,78.2641,91.25,0,407,332,48.0112,51.7136,BROKEUP
43,1,0,65.5935,91.25,0,1734,1327,29.0407,47.0938,BROKEUP
86,1,0,61.2302,91.25,0,3580,2682,50.6315,42.7544,BROKEUP
105,1,0,81.4213,91.25,0,4042,3280,17.723,25.1359,BROKEUP
117,1,0,83.53,91.25,0,4702,3637,20.9021,28.6052,BROKEUP
127,1,0,70.8401,91.25,0,5228,3876,35.384,20.6216,BROKEUP
133,1,0,90.3958,91.25,0,5439,3997,15.5141,21.0523,BROKEUP
163,1,0,71.2669,91.25,0,6171,5021,39.8945,20.8003,BROKEUP
172,1,0,73.6242,91.25,0,6441,5236,42.1475,23.6996,BROKEUP
227,1,0,70.3369,91.25,0,8262,7149,49.598,20.8705,BROKEUP
240,1,0,66.8083,91.25,0,8803,7613,54.8168,52.1218,BROKEUP
248,1,0,84.0408,91.25,0,9171,7938,23.7814,40.5557,BROKEUP
255,1,0,71.5419,91.25,0,9539,8204,44.1221,32.0069,BROKEUP
484,1,30.4167,88.6559,91.25,0,1967,389,34.2142,35.1829,BROKEUP
493,1,30.4167,84.9207,91.25,0,2285,781,35.0575,22.3182,BROKEUP
512,1,30.4167,65.6096,91.25,0,2730,1675,34.1984,33.3826,BROKEUP
519,1,30.4167,79.1222,91.25,0,3169,1856,36.0087,18.9168,BROKEUP
544,1,30.4167,61.0779,91.25,0,4106,3212,41.3488,17.8434,BROKEUP
569,1,30.4167,78.2481,91.25,0,4985,4019,44.3276,39.1108,BROKEUP
602,1,30.4167,80.2895,91.25,0,5897,5318,32.2279,20.8632,BROKEUP
605,1,30.4167,84.9097,91.25,0,6062,5461,45.7879,26.698,BROKEUP
640,1,30.4167,67.4577,91.25,0,7214,6266,30.5701,24.9333,BROKEUP
657,1,30.4167,90.2422,91.25,0,8037,6755,48.9423,44.6323,BROKEUP
686,1,30.4167,74.6164,91.25,0,9320,7744,41.7083,34.7422,BROKEUP
708,1,30.4167,72.2962,91.25,0,9990,8567,42.363,15.8915,BROKEUP
856,1,60.8333,85.0541,91.25,0,168,8848,33.5741,18.7664,BROKEUP
889,1,60.8333,88.068,91.25,0,1419,13,28.7671,34.8407,BROKEUP
892,1,60.8333,89.7044,91.25,0,1552,79,46.9242,36.7309,BROKEUP
894,1,60.8333,87.0885,91.25,0,1665,143,34.0911,32.2556,BROKEUP
899,1,60.8333,72.4049,91.25,0,1947,266,40.973,54.5936,BROKEUP
980,1,60.8333,77.3229,91.25,0,4854,3431,29.6075,23.0255,BROKEUP
1036,1,60.8333,84.5364,91.25,0,6874,5074,19.4404,19.8315,BROKEUP
1085,1,60.8333,90.0327,91.25,0,8760,7131,42.6756,31.2051,BROKEUP
1090,1,60.8333,77.423,91.25,0,9073,7248,48.7887,44.7055,BROKEUP
1102,1,60.8333,68.5422,91.25,0,9556,7534,30.0657,41.3316,BROKEUP
861,1,60.8333,219.198,91.25,0,320,9077,55.019,38.1645,SELF_DIED
82,1,0,203.005,91.25,0,3456,2584,38.9392,55.0227,SELF_DIED
923,1,60.8333,520.515,91.25,0,2625,1062,55.0609,46.5426,SELF_DIED
1193,1,60.8333,1465.99,91.25,1,2625,6477,55.0609,26.4509,SELF_DIED
1311,1,91.25,241.203,91.25,0,2625,67,55.0609,44.0091,SELF_DIED
331,1,0,602.227,91.25,1,3708,4095,51.5923,55.0464,SELF_DIED
1433,1,91.25,683.469,91.25,0,6701,4095,26.0227,55.0464,SELF_DIED
1439,1,91.25,337.812,91.25,0,6849,4343,15.5555,55.0136,SELF_DIED
580,1,30.4167,641.815,91.25,0,5146,4447,45.0802,55.0702,SELF_DIED
1487,1,91.25,428.905,91.25,0,8796,6457,38.8038,55.002,SELF_DIED
436,1,30.4167,266.134,91.25,0,45,8918,19.2307,55.0665,SELF_DIED
17,1,0,94.7111,121.667,0,646,690,47.7358,33.5564,BROKEUP
106,1,0,114.087,121.667,0,4086,3291,27.2672,36.2302,BROKEUP
115,1,0,96.0698,121.667,0,4664,3598,37.1546,32.1502,BROKEUP
141,1,0,96.1038,121.667,0,5669,4250,40.0249,39.8224,BROKEUP
170,1,0,93.8157,121.667,0,6353,5191,52.5762,30.0991,BROKEUP
179,1,0,93.1983,121.667,0,6824,5465,23.014,19.2226,BROKEUP
191,1,0,112.268,121.667,0,7042,5972,20.5128,45.4481,BROKEUP
194,1,0,117.971,121.667,0,7127,6034,52.3391,24.6578,BROKEUP
200,1,0,107.607,121.667,0,7255,6327,43.5312,20.7886,BROKEUP
212,1,0,102.328,121.667,0,7798,6661,36.9294,24.7739,BROKEUP
242,1,0,95.9492,121.667,0,8838,7800,47.3583,43.6026,BROKEUP
251,1,0,99.1651,121.667,0,9320,8047,41.7917,31.3016,BROKEUP
263,1,0,92.1607,121.667,0,9601,8475,24.9263,26.209,BROKEUP
443,1,30.4167,103.697,121.667,0,363,9213,20.8533,38.2181,BROKEUP
454,1,30.4167,108.756,121.667,0,625,9553,38.1192,27.5898,BROKEUP
471,1,30.4167,117.713,121.667,0,1357,66,33.0048,30.3197,BROKEUP
479,1,30.4167,116.663,121.667,0,1812,306,47.7305,25.8262,BROKEUP
516,1,30.4167,104.058,121.667,0,2976,1766,37.1917,34.9727,BROKEUP
532,1,30.4167,121.305,121.667,0,3798,2729,53.5461,30.2174,BROKEUP
538,1,30.4167,113.8,121.667,0,3894,3010,22.3791,37.2008,BROKEUP
543,1,30.4167,117.952,121.667,0,4042,3209,17.8064,42.3407,BROKEUP
563,1,30.4167,95.8124,121.667,0,4771,3736,25.8591,48.1405,BROKEUP
604,1,30.4167,99.3266,121.667,0,6007,5451,19.1874,37.2211,BROKEUP
616,1,30.4167,105.021,121.667,0,6441,5731,42.2308,38.7095,BROKEUP
618,1,30.4167,112.776,121.667,0,6452,5810,24.2629,43.3327,BROKEUP
624,1,30.4167,95.6439,121.667,0,6731,5977,20.2186,52.7771,BROKEUP
635,1,30.4167,121.602,121.667,0,7127,6208,52.3391,33.6815,BROKEUP
638,1,30.4167,114.225,121.667,0,7207,6227,27.3691,48.3154,BROKEUP
639,1,30.4167,91.7044,121.667,0,7209,6264,33.7971,23.3212,BROKEUP
652,1,30.4167,101.229,121.667,0,7932,6602,34.6787,17.4659,BROKEUP
653,1,30.4167,96.7096,121.667,0,7942,6615,49.4524,43.0081,BROKEUP
681,1,30.4167,110.884,121.667,0,9097,7616,48.6657,20.994,BROKEUP
756,1,30.4167,116.336,121.667,1,2771,3769,23.6196,34.3709,BROKEUP
834,1,30.4167,113.571,121.667,2,1017,3132,21.2042,42.3853,BROKEUP
878,1,60.8333,95.39,121.667,0,1086,9574,52.4776,23.9993,BROKEUP
891,1,60.8333,94.8296,121.667,0,1542,79,39.9086,36.8142,BROKEUP
895,1,60.8333,109.757,121.667,0,1711,150,45.7634,46.7976,BROKEUP
920,1,60.8333,113.042,121.667,0,2565,949,28.3282,19.7714,BROKEUP
940,1,60.8333,115.23,121.667,0,3264,1653,47.2208,48.1167,BROKEUP
943,1,60.8333,115.566,121.667,0,3364,1753,52.0822,39.8,BROKEUP
950,1,60.8333,109.735,121.667,0,3684,1991,19.1567,43.0934,BROKEUP
958,1,60.8333,115.604,121.667,0,4088,2434,44.0175,32.718,BROKEUP
973,1,60.8333,95.6654,121.667,0,4664,3267,37.1546,23.3146,BROKEUP
979,1,60.8333,106.885,121.667,0,4840,3367,44.1057,17.7335,BROKEUP
993,1,60.8333,110.989,121.667,0,5156,3876,32.2476,20.705,BROKEUP
1001,1,60.8333,105.858,121.667,0,5482,4111,19.1736,37.3692,BROKEUP
1007,1,60.8333,99.8527,121.667,0,5704,4302,30.1202,49.2207,BROKEUP
1022,1,60.8333,94.7924,121.667,0,6284,4646,32.4534,18.613,BROKEUP
1041,1,60.8333,120.293,121.667,0,7003,5145,33.3721,53.4843,BROKEUP
1062,1,60.8333,119.125,121.667,0,7878,6004,20.8231,19.2714,BROKEUP
1064,1,60.8333,99.2178,121.667,0,7932,6051,34.6787,31.1565,BROKEUP
1081,1,60.8333,121.195,121.667,0,8614,7001,19.8687,45.1137,BROKEUP
1098,1,60.8333,110.994,121.667,0,9301,7473,23.9164,21.1343,BROKEUP
1257,1,91.25,102.766,121.667,0,71,8231,22.706,16.9517,BROKEUP
1259,1,91.25,98.995,121.667,0,215,8265,48.2879,26.0431,BROKEUP
1292,1,91.25,107.261,121.667,0,1658,9505,29.1362,18.2874,BROKEUP
1315,1,91.25,114.807,121.667,0,2767,148,29.2846,20.7577,BROKEUP
1325,1,91.25,108.959,121.667,0,3169,630,36.0921,30.6833,BROKEUP
1332,1,91.25,112.621,121.667,0,3339,984,52.6965,30.5259,BROKEUP
1340,1,91.25,109.869,121.667,0,3580,1199,50.7148,32.6042,BROKEUP
1363,1,91.25,104.066,121.667,0,4239,1891,51.1584,44.9998,BROKEUP
1389,1,91.25,103.748,121.667,0,5071,2967,43.0545,25.3328,BROKEUP
1395,1,91.25,120.382,121.667,0,5232,3093,40.0632,52.2942,BROKEUP
1400,1,91.25,113.78,121.667,0,5326,3188,30.4461,23.0077,BROKEUP
1471,1,91.25,115.822,121.667,0,8099,5977,18.2667,52.7771,BROKEUP
1508,1,91.25,104.847,121.667,0,9371,7381,23.2336,41.0994,BROKEUP
1608,1,91.25,97.3878,121.667,1,783,6671,42.3187,38.9283,BROKEUP
273,1,0,1438.8,121.667,1,199,132,21.6515,55.0821,SELF_DIED
1271,1,91.25,125.538,121.667,0,950,8732,55.0298,38.4727,SELF_DIED
421,1,0,1645.45,121.667,2,2485,2262,38.5963,55.0636,SELF_DIED
525,1,30.4167,461.274,121.667,0,3567,2262,32.4966,55.0636,SELF_DIED
1166,1,60.8333,1000.65,121.667,1,459,4287,35.1514,55.0574,SELF_DIED
1481,1,91.25,337.718,121.667,0,8581,6298,35.7039,55.0638,SELF_DIED
1497,1,91.25,236.174,121.667,0,9116,6762,30.874,55.0288,SELF_DIED
1911,1,121.667,407.265,121.667,0,9690,6762,26.606,55.0288,SELF_DIED
383,1,0,536.165,121.667,1,6943,8011,55.0568,31.5974,SELF_DIED
1442,1,91.25,154.504,121.667,0,6943,4430,55.0568,45.9259,SELF_DIED
1443,1,91.25,260.629,121.667,0,6943,4542,55.0568,23.1081,SELF_DIED
1941,1,121.667,750.073,121.667,1,6943,1271,55.0568,38.6583,SELF_DIED
1942,1,121.667,240.419,121.667,1,6943,1299,55.0568,29.6441,SELF_DIED
644,1,30.4167,985.577,121.667,0,7680,6400,55.0715,41.4331,SELF_DIED
1460,1,91.25,759.547,121.667,0,7680,5625,55.0715,46.7869,SELF_DIED
1558,1,91.25,563.521,121.667,1,7680,2063,55.0715,40.0065,SELF_DIED
1218,1,60.8333,916.754,121.667,1,4824,8694,18.5436,55.0832,SELF_DIED
50,1,0,148.573,152.083,0,2054,1518,28.7874,40.1922,BROKEUP
70,1,0,136.029,152.083,0,2803,2007,32.211,47.3365,BROKEUP
72,1,0,135.999,152.083,0,2844,2043,37.4411,20.7146,BROKEUP
76,1,0,143.108,152.083,0,3184,2438,29.129,40.1815,BROKEUP
78,1,0,136.616,152.083,0,3338,2519,46.4735,33.4179,BROKEUP
89,1,0,122.139,152.083,0,3642,2943,24.6845,35.7365,BROKEUP
128,1,0,128.352,152.083,0,5232,3881,40.1466,53.1785,BROKEUP
154,1,0,126.649,152.083,0,5924,4742,44.1503,33.0799,BROKEUP
160,1,0,123.553,152.083,0,6068,4868,24.6443,37.7685,BROKEUP
164,1,0,128.159,152.083,0,6189,5047,17.2312,44.2246,BROKEUP
166,1,0,149.569,152.083,0,6289,5067,50.4764,37.7263,BROKEUP
171,1,0,123.975,152.083,0,6359,5225,34.9393,38.8423,BROKEUP
173,1,0,145.085,152.083,0,6485,5241,31.2836,14.949,BROKEUP
196,1,0,132.297,152.083,0,7221,6126,33.0627,40.6654,BROKEUP
217,1,0,141.327,152.083,0,7980,6866,21.5289,40.3772,BROKEUP
223,1,0,134.821,152.083,0,8099,7043,18.3501,30.4532,BROKEUP
231,1,0,151.079,152.083,0,8350,7282,50.784,36.7472,BROKEUP
236,1,0,132.366,152.083,0,8581,7416,35.7873,37.3792,BROKEUP
239,1,0,152.081,152.083,0,8766,7601,48.1858,44.4541,BROKEUP
247,1,0,145.723,152.083,0,9160,7924,34.3263,42.9087,BROKEUP
249,1,0,142.777,152.083,0,9228,7990,47.7189,31.1362,BROKEUP
305,1,0,148.06,152.083,1,2096,2304,35.4189,36.7086,BROKEUP
323,1,0,146.639,152.083,1,3144,3431,29.9948,23.1922,BROKEUP
337,1,0,132.307,152.083,1,4086,4301,27.3505,34.7439,BROKEUP
438,1,30.4167,129.256,152.083,0,57,8957,20.1283,29.3474,BROKEUP
466,1,30.4167,129.243,152.083,0,1114,9926,41.0145,48.7012,BROKEUP
474,1,30.4167,139.412,152.083,0,1530,131,44.8393,36.6599,BROKEUP
475,1,30.4167,142.531,152.083,0,1552,154,47.0909,46.6953,BROKEUP
481,1,30.4167,126.722,152.083,0,1887,325,33.6997,28.5685,BROKEUP
509,1,30.4167,141.357,152.083,0,2632,1585,46.873,33.2923,BROKEUP
