Rel_ID,Node_ID,Rel_start_time,Rel_scheduled_end_time,Rel_actual_end_time,Rel_type (0 = TRANSITORY; 1 = INFORMAL; 2 = MARITAL; 3 = COMMERCIAL),male_ID,female_ID,male_age,female_age,Termination_Reason
129,1,0,171.583,0,0,4733,4770,49.0323,55.0184,SELF_DIED
411,1,0,815.194,0,1,8377,8704,55.0436,41.8744,SELF_DIED
15,1,0,4.77488,30.4167,0,732,497,20.2945,31.4271,BROKEUP
32,1,0,15.0701,30.4167,0,1154,978,54.8625,23.5692,BROKEUP
33,1,0,25.2237,30.4167,0,1158,1049,31.4152,23.0484,BROKEUP
41,1,0,19.6603,30.4167,0,1541,1474,50.1629,42.5963,BROKEUP
46,1,0,5.78235,30.4167,0,1704,1679,35.0855,38.3279,BROKEUP
55,1,0,19.0822,30.4167,0,2207,2089,19.8146,46.35,BROKEUP
159,1,0,26.9231,30.4167,0,5753,5679,41.5654,53.1069,BROKEUP
165,1,0,10.666,30.4167,0,5899,5705,18.5806,39.3375,BROKEUP
166,1,0,29.3527,30.4167,0,5951,5718,50.8492,34.647,BROKEUP
202,1,0,15.284,30.4167,0,7005,6982,39.3323,37.6415,BROKEUP
207,1,0,19.3933,30.4167,0,7060,7208,17.8234,35.5629,BROKEUP
216,1,0,20.6122,30.4167,0,7476,7488,21.9764,27.2306,BROKEUP
239,1,0,18.2026,30.4167,0,8386,8388,41.1223,53.2806,BROKEUP
258,1,0,6.78222,30.4167,0,8803,8941,30.443,46.5878,BROKEUP
445,1,0,5100.64,30.4167,2,5046,5674,55.0243,33.8613,SELF_DIED
599,1,30.4167,299.467,30.4167,0,5300,5097,55.002,21.3186,SELF_DIED
185,1,0,316.214,30.4167,0,6433,6486,55.0814,50.3813,SELF_DIED
652,1,30.4167,989.65,30.4167,0,6999,7027,55.0124,33.7534,SELF_DIED
227,1,0,163.546,30.4167,0,7983,7857,28.5928,55.0616,SELF_DIED
39,1,0,56.2956,60.8333,0,1395,1381,49.2779,21.4232,BROKEUP
52,1,0,30.4999,60.8333,0,1934,1901,28.085,36.7037,BROKEUP
57,1,0,35.2934,60.8333,0,2281,2110,39.2216,22.9472,BROKEUP
58,1,0,34.0625,60.8333,0,2350,2157,45.8545,16.3894,BROKEUP
91,1,0,58.3877,60.8333,0,3461,3421,47.7266,33.7966,BROKEUP
146,1,0,37.492,60.8333,0,5301,5242,27.5816,50.9403,BROKEUP
155,1,0,50.7506,60.8333,0,5484,5541,44.5975,28.4754,BROKEUP
171,1,0,60.5413,60.8333,0,6060,5924,48.4189,39.1942,BROKEUP
174,1,0,46.6737,60.8333,0,6069,5986,50.5325,26.9377,BROKEUP
192,1,0,31.1735,60.8333,0,6630,6780,31.8835,48.6396,BROKEUP
238,1,0,48.1633,60.8333,0,8386,8381,41.2057,16.0054,BROKEUP
243,1,0,31.1137,60.8333,0,8446,8407,37.5657,35.5993,BROKEUP
261,1,0,47.8502,60.8333,0,9026,9017,37.6223,52.3604,BROKEUP
285,1,0,47.2389,60.8333,0,9671,9599,33.4687,28.9395,BROKEUP
465,1,30.4167,33.873,60.8333,0,565,89,32.6784,27.6012,BROKEUP
488,1,30.4167,43.6183,60.8333,0,1339,972,19.2502,36.9749,BROKEUP
509,1,30.4167,50.1766,60.8333,0,2265,1691,45.402,31.892,BROKEUP
524,1,30.4167,35.1879,60.8333,0,2765,2392,24.1488,45.6588,BROKEUP
525,1,30.4167,54.9094,60.8333,0,2779,2400,41.0884,26.643,BROKEUP
531,1,30.4167,46.6753,60.8333,0,2939,2513,45.1564,28.1447,BROKEUP
539,1,30.4167,39.6883,60.8333,0,3283,3035,40.0351,41.6765,BROKEUP
603,1,30.4167,37.4282,60.8333,0,5576,5233,30.7095,43.721,BROKEUP
